title,category,link,date,companyCode
FinancialStatement-2021-Tahunan-AUTO.xlsx,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AUTO/FinancialStatement-2021-Tahunan-AUTO.xlsx,2022-02-22,AUTO
FinancialStatement-2021-Tahunan-AVIA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AVIA/FinancialStatement-2021-Tahunan-AVIA.pdf,2022-03-17,AVIA
FinancialStatement-2021-Tahunan-AYLS.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AYLS/FinancialStatement-2021-Tahunan-AYLS.pdf,2022-05-09,AYLS
FinancialStatement-2021-Tahunan-BABP.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BABP/FinancialStatement-2021-Tahunan-BABP.pdf,2022-04-14,BABP
FinancialStatement-2021-Tahunan-BACA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BACA/FinancialStatement-2021-Tahunan-BACA.pdf,2022-04-01,BACA
FinancialStatement-2021-Tahunan-BAJA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BAJA/FinancialStatement-2021-Tahunan-BAJA.pdf,2022-04-25,BAJA
FinancialStatement-2021-Tahunan-BALI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BALI/FinancialStatement-2021-Tahunan-BALI.pdf,2022-03-01,BALI
FinancialStatement-2021-Tahunan-BANK.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BANK/FinancialStatement-2021-Tahunan-BANK.pdf,2022-03-31,BANK
FinancialStatement-2021-Tahunan-BAPA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BAPA/FinancialStatement-2021-Tahunan-BAPA.pdf,2022-04-28,BAPA
FinancialStatement-2021-Tahunan-BAPI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BAPI/FinancialStatement-2021-Tahunan-BAPI.pdf,2022-05-09,BAPI
FinancialStatement-2021-Tahunan-BATA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BATA/FinancialStatement-2021-Tahunan-BATA.pdf,2022-06-06,BATA
FinancialStatement-2021-Tahunan-BAUT.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BAUT/FinancialStatement-2021-Tahunan-BAUT.pdf,2022-04-27,BAUT
FinancialStatement-2021-Tahunan-BAYU.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BAYU/FinancialStatement-2021-Tahunan-BAYU.pdf,2022-04-19,BAYU
FinancialStatement-2021-Tahunan-BBCA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BBCA/FinancialStatement-2021-Tahunan-BBCA.pdf,2022-01-28,BBCA
FinancialStatement-2021-Tahunan-BBHI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BBHI/FinancialStatement-2021-Tahunan-BBHI.pdf,2022-03-31,BBHI
FinancialStatement-2021-Tahunan-BBKP.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BBKP/FinancialStatement-2021-Tahunan-BBKP.pdf,2022-04-20,BBKP
FinancialStatement-2021-Tahunan-BBLD.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BBLD/FinancialStatement-2021-Tahunan-BBLD.pdf,2022-04-08,BBLD
FinancialStatement-2021-Tahunan-BBMD.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/BBMD/FinancialStatement-2021-Tahunan-BBMD.pdf,2022-03-31,BBMD
